ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2017,"2017",18105,1641,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",2,"Construction",2017,"2017",36890,2732,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",3,"Manufacturing",2017,"2017",23021,720,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",4,"Wholesale Trade",2017,"2017",30960,1217,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",5,"Retail Trade",2017,"2017",19980,414,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2017,"2017",32161,1233,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",7,"Information",2017,"2017",56990,2654,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2017,"2017",42465,1226,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2017,"2017",36522,810,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2017,"2017",31815,330,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2017,"2017",19290,497,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",13,"Other Services Except Public Administration",2017,"2017",16701,324,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",14,"Public Administration",2017,"2017",43290,1693,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2016,"2016",22612,1322,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",2,"Construction",2016,"2016",23603,537,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",3,"Manufacturing",2016,"2016",30125,632,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",4,"Wholesale Trade",2016,"2016",33672,1856,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",5,"Retail Trade",2016,"2016",24327,620,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",6,"Transportation & Warehousing, & Utilities",2016,"2016",32191,605,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",7,"Information",2016,"2016",63010,1701,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2016,"2016",53586,2812,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2016,"2016",40227,1028,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2016,"2016",40658,625,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2016,"2016",22477,466,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",13,"Other Services Except Public Administration",2016,"2016",23664,589,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",14,"Public Administration",2016,"2016",68009,2825,"Los Angeles, CA","16000US0644000","los-angeles-ca"
